English,Slovak
japanese,japonský
sudden,náhly
coat,vrták
sooner,skôr
cheese,syr
larry,larry
spring,jar
page,strana
ears,uši
simon,shon
castle,hrad
hidden,skrytý
storm,búrka
cos,cos
personally,osobne
artist,umelec
hill,kopec
exciting,vzrušujúci
permission,povolenie
jerry,hrebeň
expensive,drahý
tickets,vstupenky
forest,les
barely,sotva
eggs,vajcia
goin,Choď dnu
regret,ľutovať
lesson,lekcia
lover,milenec
bread,chlieb
andy,Andy
subject,predmet
legal,legálny
growing,rastúci
ill,nešťastný
jason,jason
mood,nálada
owner,majiteľ
caused,spôsobený
beeping,pípnutie
points,body
dating,datovanie
loss,strata
secretary,sekretárka
revenge,pomsta
santa,Ježiško
likely,pravdepodobný
rent,prenajať
connection,spojenie
assistant,asistent
reasons,dôvod
yelling,krik
painting,maľba
trees,stromy
doctors,lekári
rush,vraziť sa
foreign,zahraničný
rough,hnusný
murderer,vrah
century,storočie
nights,noc
pair,spárovať
runs,beží
pocket,vreckovka
farm,farmár
matt,matt
bike,bicykel
obvious,zjavný
ate,jedol
grew,rástol
professional,profesionálny
tim,čas
goodness,dobrota
parts,diely
alan,alan
university,univerzita
square,námestie
grandfather,dedko
europe,Európa
genius,génius
cases,prípady
ruin,zrúcanina
winter,zima
tongue,jazyk
memories,spomienky
da,da
buying,nákup
cancer,rakovina
clock,hodinky
ocean,oceán
dna,DNA
liar,klamárov
tour,prehliadka
thief,zlodej
bleep,mletie
lisa,Lisa
rights,práva
including,počítajúc do toho
competition,súťaž
smith,kováč
planned,plánovaný
emily,emily
boring,nudný
victims,obeť
mentioned,uvedený
bones,kosti
plant,zasadenie
bless,požehnať
warning,POZOR
knocking,klepanie
re,rekrea
crash,havarovanie
bedroom,spálňa
lower,znížiť
silver,striebro
groaning,stonanie
madame,mada
defense,obhajoba
results,výsledky
toilet,"toaleta, WC"
event,udalosť
complicated,komplikovaný
shape,forma
priest,kňaz
royal,kráľovský
cheap,lacný
romantic,romantický
downstairs,dole
invite,pozvať
fortune,bohatstvo
tears,slzy
avoid,vyhnúť sa
reached,oslovený
higher,vyšší
familiar,známy
telephone,telefón
burning,horiaci
filled,vyplnený
kelly,kelly
alice,Alice
airport,LETISKO
jobs,pracovné miesta
grown,dospelý
walter,Walter
rachel,rachel
giant,obor
insurance,poistenie
woods,lesy
n,n
scare,vystrašiť
pleased,potešený
period,obdobie
political,politický
player,hráč
stops,zastávka
secrets,tajomstvá
laura,laura
repeat,opakovať
photos,výrok
finds,nálezy
statement,vyhlásenie
suck,sať
younger,mladší
china,Čína
humans,ľudia
delicious,lahodný
particular,osobitný
proper,správny
rome,Rím
belongs,patrí
attacked,napadnutý
bath,kúpať sa
hired,najatý
site,miesto
knowledge,znalosť
b,b
led,vedený
guests,hosť
celebrate,oslavovať
map,mapovať
horn,roh
eventually,nakoniec
pity,ľútosť
powers,právomoci
ashamed,hanbiť sa
assume,predpokladať
glasses,okuliare
rise,vznik
fixed,stanovený
request,žiadosť
officers,dôstojník
pounds,libra
data,údaje
carefully,opatrne
per,za
depends,závisí
jury,porota
waited,čakal
positive,pozitívny
attorney,právnik
direction,smer
families,rodiny
clock,hodinky
doin,robiť
forces,sily
location,miesto
walls,steny
useless,zbytočný
grant,udelenie
saving,úspora
speaks,hovoriť
fought,bojovať
meal,jedlo
deliver,dodať
answers,odpovede
changing,meniaci sa
temple,chrám
scary,strašidelný
millions,milióny
offered,ponúkaný
regular,pravidelný
carrying,prenášanie
official,úradník
jacket,plášť
switch,prepínanie
grave,hrob
chase,naháňačka
role,úloha
odd,zvláštny
sexy,sexy
faces,tváre
becomes,stáva sa
closes,zatvoriť
badly,zle
tall,vysoký
confused,zmätený
affair,záležitosť
television,televízia
shock,šokovanie
raised,zdvíhaný
panting,lapací po dychu
pizza,pizza
image,predstavovať
clears,vyčistiť
golden,zlatý
patients,pacient
watched,sledovaný
committed,odhodlaný
sexual,sexuálny
suffer,trpieť
arthur,Arthur
wherever,kdekoľvek
plate,tanier
appear,javiť sa
chocolate,čokoláda
clever,šikovný
hm,hm
mercy,milosrdenstvo
shots,záber
lucy,Lucy
dealing,obchodný
trap,pasca
charges,poplatky
phil,Phil
bang,trik
poison,otráviť sa
butt,zadok
drove,jazdiť
yourselves,sami
headed,hlavný
babies,deti
yellow,žltá
soup,polievka
mystery,tajomstvo
picking,vyberanie
sat,sedieť
wound,rana
traffic,prenos
courage,odvaha
hunt,loviť
indian,indický
rat,potkan
terms,podmienky
italian,taliansky
emma,Emma
checking,kontrola
disease,choroba
managed,organizovaný
winner,víťaz
council,zastupiteľstvo
appointment,schôdzka
monday,pondelok
crack,prasknúť
threat,hrozba
jenny,štrbina
physical,fyzický
nation,národ
source,zdroj
chose,vybrať si
healthy,zdravý
carl,karla
victory,víťazstvo
rick,krik
stood,stáť
kicked,vykopaný
annie,annie
disgusting,nechutný
palace,palác
below,nižšie
shopping,nákup
neighborhood,okolie
march,pochod
lips,pery
midnight,polnoc
piss,šťať sa
advantage,výhoda
pure,čistý
india,India
aside,stranou
jerk,trhnúť
mail,pošta
dawn,úsvit
effect,účinok
spell,kúzlo
freak,čudák
wood,drevo
screwed,skrutkovaný
enemies,nepriatelia
gary,gary
awake,prebudiť sa
chuckling,zasmrtný
vacation,dovolenka
violence,násilie
leo,leo
grandmother,babička
modern,moderný
luke,lupič
firm,pevný
prime,hlavný
heh,hanba
touched,dotknutý
talent,talent
whore,suka
piano,klavír
license,licencia
cooking,varenie
honour,ctiť
concern,znepokojenie
moves,pohyby
available,dostupný
factory,továreň
gods,bohovia
value,hodnota
central,ústredný
union,zväzok
mirror,zrkadliť
studio,štúdio
media,médium
taxi,taxík
dies,zomrieť
iron,žehlička
hearts,sŕdc
desire,túžba
rob,okradnúť
claire,klenot
fred,fred
songs,piesne
washington,Washington
monkey,puknúť
pride,pýcha
pills,tabletky
miracle,zázrak
swim,plávať
burned,popálený
smells,pachovať
joking,žarty
christian,kresťanský
bleeding,krvácajúca
hook,hák
beating,bitie
protection,ochrana
treatment,liečba
ear,ucho
carter,karterár
metal,kov
disappear,zmiznúť
grateful,vďačný
extremely,mimoriadne
treasure,vážiť si
rescue,záchrana
capable,schopný
passing,prechádzajúci
chatter,klábosiť
result,vyplývať
suffering,utrpenie
sisters,sestry
laid,položený
governor,guvernér
guards,strážca
louis,Louis
text,text
literally,doslova
remove,odložiť
becoming,statok
performance,výkonnosť
stronger,silnejší
rate,miera
deeply,hlboko
scream,kričať
desert,púšť
vehicle,vozidlo
illegal,nezákonný
pulling,ťahanie
throwing,hádzanie
josh,hnedý
unbelievable,neuveriteľný
ted,úškľabok
zero,nula
dean,dekan
curious,zvedavý
sean,Sean
candy,cukrík
bone,kosť
tied,zviazaný
edge,hrana
load,naložiť
susan,Susan
ahh,achhh
mountains,pohoria
boom,výložník
former,bývalý
holiday,dovolenka
riding,jazda
scoffs,posmech
hundreds,stovky
motherfucker,fucker
sue,žalovať
bags,tašky
stealing,kradnutie
appears,objavuje sa
arrive,prísť
remains,zvyšky
decent,slušný
issues,problémy
tip,tip
fail,zlyhať
bride,nevesta
pissed,naštvaný
penny,cent
claim,nárok
friendship,priateľstvo
desperate,zúfalý
flower,kvetina
dramatic,dramatický
refuse,odmietnuť
solve,vyriešiť
theme,téma
loving,milujúca
properly,správne
dragon,drak
mostly,hlavne
chuck,zaniknúť
directly,priamo
surface,povrch
FALSE,Nepravdivý
cast,vrhnúť
junior,mladší
hunting,poľovníctvo
silent,tichý
thou,ty
egg,vajce
germany,Nemecko
punch,dierovať
africa,Afrika
woke,zobudil
intelligence,inteligencia
borrow,požičať si
winning,víťazný
falls,pády
popular,populárny
escaped,uniknutý
witch,čarodejnica
convinced,presvedčený
warn,upozorniť
announcer,hlásateľ
champagne,šampanské
dust,prach
kyle,kyle
someday,jedného dňa
fallen,spadnutý
stranger,cudzinec
presence,prítomnosť
tear,roztrhnúť
st.,St.
internet,internet
monsieur,monsieur
therefore,preto
technology,technológia
tires,pneumatiky
toast,opekať
wise,múdry
clark,clark
americans,Američania
notes,poznámky
smoking,fajčenie
hank,štrbina
ls,ls
april,apríl
wolf,vlk
precious,vzácny
rooms,miestnosti
coast,pobrežie
treated,ošetrený
material,materiál
released,prepustený
uniform,jednotný
hated,nenávidený
considered,uvažovaný
rice,ryža
exchange,výmena
steps,kroky
blake,blesk
convince,presvedčiť
beast,šelma
cow,krava
files,súbory
signs,znaky
drag,pretiahnutie
cab,taxík
hung,zavesený
carried,prepravovaný
ordinary,bežný
successful,úspešný
eve,predvečer
mistakes,chyby
houses,domy
chattering,chlpatie
brains,mozog
japan,japonsko
creature,stvorenie
fourth,štvrtý
separate,oddeliť
cleaning,čistenie
california,Kalifornia
lf,lf
ll,ll
shift,posunúť
elizabeth,Alžbeta
chicago,Chicago
exact,presný
karen,karen
goal,cieľ
expert,odborník
served,podávaný
direct,priamy
score,skóre
row,riadok
marks,známky
twenty,dvadsať
receive,dostávať
series,séria
section,sekcia
pilot,pilot
jackson,jackson
darkness,tma
thy,tvoj
sale,zľava
destiny,osud
cure,vyliečiť
spoken,hovorený
armed,ozbrojený
rare,zriedkavý
helen,Helen
grade,známka
juice,šťava
wide,široký
tower,veža
solution,Riešenie
schedule,plán
explosion,výbuch
wheel,koleso
cigarette,cigareta
julie,julie
fruit,ovocie
blew,vyfúknuť
victor,víťaz
talks,rozhovory
sacrifice,obetovať
range,rozsah
button,tlačidlo
reports,správy
prisoner,väzňa
pie,koláč
effort,úsilie
youth,mládež
pot,hrniec
eaten,utratený
taylor,štrbina
knees,kolená
garage,garáž
parking,parkovisko
ambulance,sanitka
staring,pozeranie
chances,šance
circumstances,okolnosti
sin,hriech
gordon,Gordon
progress,pokrok
unusual,nezvyčajný
county,okres
stairs,schody
campaign,kampaň
mon,monštrum
vision,zjavenie
reporter,reportér
equipment,vybavenie
moments,moment
joey,joey
mass,masa
alien,Votrelec
trapped,zachytený
helps,pomáhať
route,cesta
defend,brániť sa
trace,stopa
nasty,nepríjemný
tests,skúšky
magazine,časopis
rocks,skala
dump,skládka
rude,neslušný
searching,hľadanie
clue,podtažnosť
connected,prepojený
amen,amen
pushed,zatlačený
merry,veselý
zone,zóna
senior,starší
closing,záverečný
freeze,zmraziť
emperor,cisár
incident,incident
snake,hadiť sa
mexico,Mexiko
lily,ľalie
actor,herca
newspaper,noviny
sentence,odsúdenie
greg,greg
leading,hlavný
friendly,priateľský
jones,žarty
chosen,zvolený
engaged,zapojený
julia,Julia
charming,očarujúci
mustn,must
anger,hnev
spending,výdavky
learning,učenie sa
spy,špehovať
sharp,ostrý
shadow,zatieniť
warrant,zaručiť
elevator,výťah
kingdom,kráľovstvo
ricky,šťavnatý
jamie,žobievka
squad,čata
shoulder,rameno
wave,mávať
amanda,amanda
highness,výška
kinds,druh
fishing,rybolov
sometime,niekedy
attitude,postoj
sucks,vsať
negative,negatívny
screen,skríning
workers,pracovník
bored,nudný
cameras,kamery
similar,podobný
understanding,chápanie
beeps,pípnutie
chain,reťaz
bull,býk
gasping,lapanie
fully,úplne
robin,okradnúť
collect,zberať
gorgeous,nádherný
morgan,morgan
passion,vášeň
writer,autor
empire,ríša
international,medzinárodný
curse,prekliatie
hire,prenášať
bastards,bastardi
puts,postihnutie
leads,vedenie
id,id
blows,fúkať
sons,synovia
estate,nehnuteľnosť
customers,zákazník
maggie,čarodejník
gunshot,strelec
i-,i-
device,zariadenie
troops,jednotka
hug,objatie
design,návrh
movement,pohyb
thunder,zhluk
object,námietka
loser,porazený
pen,pero
sobbing,vzlykajúci
politics,politika
despite,napriek
alcohol,alkohol
climb,vyliezť
clients,klient
conference,konferencia
provide,poskytnúť
marty,premiešaný
seek,hľadať
witnesses,svedkovia
earn,zarobiť si
trash,smeti
valley,údolie
fashion,ustanoviť
howard,Howard
episode,epizóda
prize,cena
previously,predtým
sports,športový
wanting,chcieť
debt,dlh
wishes,priania
hitler,hitler
wire,drôt
thee,tebe
circle,kruh
approach,prístup
stock,zásoba
facts,skutočnosť
remembered,spomenutý
percent,percento
normally,normálne
tail,chvost
joined,pripojený
education,vzdelávanie
bravo,brucho
library,knižnica
rape,znásilnenie
wings,krídla
growling,vrčanie
thrown,hodený
tank,nádrž
exhales,vydýchnuť
authority,orgán
current,súčasný
failure,zlyhanie
nightmare,nočná mora
hitting,biť
glory,sláva
knocked,zrazený
studying,študovať
barry,barry
agency,agentúra
apple,jablko
border,hranica
rope,lano
duck,kačica
reputation,povesť
confidence,dôvera
yard,dvor
beloved,milovaný
lack,nedostatok
actual,skutočný
skills,zručnosti
films,filmy
mental,duševný
salt,soľ
flesh,mäso
anne,anne
secure,zabezpečiť
highly,vysoko
federal,federálny
sand,piesok
emotional,emocionálny
setting,stanovenie
nothin,nič
senator,senátor
services,služby
robbery,lúpež
hates,nenávidieť
fed,napájaný
reward,odmena
theater,divadlo
johnson,Johnson
commit,spáchanie
patrick,patrick
entirely,úplne
extraordinary,mimoriadny
ships,lode
opposite,oproti
parties,večierky
stands,stánky
terry,Terry
chat,chatovať
events,diania
mummy,múmia
bay,zátoka
slip,skĺznuť
disappointed,sklamaný
settled,usadený
begins,začína
andrew,Andrew
alert,výstraha
detail,podrobnosť
pink,Ružová
fellas,kamaráti
accepted,prijatý
background,pozadie
garbage,odpadky
panic,panika
minds,myseľ
belt,opasok
blowing,fúkanie
hollywood,hollywood
agreement,dohoda
jackie,jackie
pushing,tlačenie
ability,schopnosť
tiger,tigr
whispering,šepot
culture,kultúra
saint,svätý
jesse,jesse
task,úloha
solid,tuhý
doll,bábika
intend,zamýšľať
district,okresný
pa,pav
gee,podceňovať
custody,opatrovníctvo
ignore,ignorovať
naturally,prirodzene
useful,užitočný
attempt,pokus
abandoned,opustený
cutting,rezanie
kissed,bozkávaný
guarantee,zaručiť
barking,štekanie
gather,zhromaždiť sa
policy,politika
u.s.,v USA
violent,násilný
maid,slúžka
embarrassing,rozpačitý
childhood,detstvo
wasting,strata
bow,klonovať sa
chick,kuriatko
sara,sara
disaster,katastrofa
revolution,revolúcia
online,online
f,f
demon,démon
heavily,ťažko
coincidence,náhoda
perform,hrať
thin,tenký
terrific,úžasný
mac,mac
crown,korunka
identity,totožnosť
virgin,panenský
impressive,pôsobivý
windows,okná
no-one,nikto
potential,potenciál
guitar,gitara
committee,výbor
dozen,tucet
delivery,dodanie
advance,pokrok
quietly,ticho
stan,stan
teaching,výučba
hunter,lovec
latest,najnovší
hurting,ublíženie
swing,hojdačka
capital,hlavný
counting,počítanie
drew,červenať sa
dirt,nečistota
whistle,píšťalka
marie,mokra
hits,hity
doug,štrbina
deny,poprieť
urgent,naliehavý
threatened,ohrozený
behavior,správanie
molly,molly
mixed,zmiešaný
stays,pobyt
assure,uistiť
subtitles,titulky
explanation,vysvetlenie
wins,výhry
unique,jedinečný
chasing,prenasledovanie
billion,miliardy
duke,vojvoda
production,výroba
slave,otrok
agents,činiteľ
carol,koleda
lets,poďme
cruel,krutý
mask,maskovať
sally,Sally
behave,správať sa
bury,pochovať
massive,masívny
pathetic,úbohý
species,druh
approaching,blížiaci sa
jo,jo
loan,úver
struggle,boj
dish,misa
trusted,dôveryhodný
jumped,skákal
firing,paľba
channel,kanál
abby,hnusný
stopping,zastavenie
asks,pýtať sa
jean,džíntka
swimming,plávať
daily,denne
basement,suterén
linda,linda
quarter,štvrťrok
erm,erm
bound,viazaný
navy,námornícky
article,článok
guide,vodca
accused,obvinený
transfer,prenos
guts,čreva
quality,kvalita
fella,fúza
roman,rímsky
greater,väčší
damned,zatratený
couch,gauč
cheer,fandiť
vegas,Vegas
shoe,tvare
title,titul
shy,hanblivý
punishment,trest
los,los
clicks,kliknutia
you,vy
closet,skriňa
bye-bye,rozlúčka
fever,horúčka
coward,zbabelec
flash,blesk
impressed,ohromený
bruce,breh
siren,siréna
prisoners,väzňa
sides,strany
bowl,misa
katie,kaie
supply,dodávka
sensitive,citlivý
hopefully,dúfajme
rolling,valcujúci
roy,roy
dollar,dolár
tone,tón
voices,hlasy
g,g
i,i
cheating,podvádzanie
confess,priznať sa
demand,dopyt
museum,múzeum
unknown,neznámy
drama,dráma
suspicious,podozrivý
adult,dospelý
todd,Todd
frightened,vystrašený
warned,varovaný
steady,stabilný
kills,zabíjať
crossed,skrížený
lou,lalok
particularly,obzvlášť
sandwich,zachytiť
laws,zákony
joint,kĺbový
bullets,guľky
package,balík
trained,vycvičený
thursday,štvrtok
boots,topánky
possibility,možnosť
albert,albert
civil,občiansky
june,jún
germans,Nemci
baseball,baseball
express,expresné
miserable,úbohý
tuesday,utorok
parker,parker
lion,lev
joseph,joseph
refused,zamietnutý
shine,lesk
assault,útok
hong,Hong
jokes,vtipy
breaks,prestávky
argue,hádať sa
you-,ty-
trail,stopa
option,voľba
recall,pripomenúť si
mighty,mocný
collection,zbierka
oliver,oliver
wilson,Wilson
accent,prízvuk
believes,verí
decisions,rozhodnutia
embarrassed,v rozpakoch
mobile,mobilné
customer,zákazník
terribly,strašne
sec,sekundu
charity,dobročinnosť
considering,zváženie
pussy,kunda
donna,donna
protecting,ochrana
flag,zápis
kidnapped,unesený
italy,Taliansko
balance,vyváženie
creatures,stvorenia
nuclear,jadrový
wallet,peňaženka
shout,výkrik
vincent,vincent
entered,zadaný
impression,dojem
angela,Angela
jay,jay
degrees,stupne
favour,uprednostňovať
reaction,reakcia
network,sieť
jessica,Jessica
version,verzia
concert,koncert
gear,výbava
singer,spevák
diamond,diamant
defeat,poraziť
steven,steven
lane,pruh
blast,výbuch
wounded,zranený
anytime,kedykoľvek
partners,partneri
ages,vekové veky
charlotte,charlotte
ceremony,obrad
league,ligovať
bars,pruh
orange,oranžový
specific,špecifický
conditions,podmienky
plastic,plastový
crisis,kríza
fifth,piaty
term,termín
self,ja
offering,ponuka
bud,puding
suffered,utrpený
reported,uvádzaný
commissioner,komisár
rip,odtrhnúť
mysterious,tajomný
entrance,vstup
messed,prerušovaný
tunnel,tunel
designed,navrhnutý
neighbor,sused
aboard,na palube
sweat,potiť sa
justin,justin
ghosts,duchovia
crimes,trestné činy
costs,náklady
deserves,zaslúžiť si
dreaming,snívanie
bust,poprsia
el,el
teddy,Macko
kong,kong
messages,správy
enjoying,radosť
afterwards,potom
comfort,úľavu
mason,murár
surrender,odovzdanie
gym,telocvičňa
kitty,mačička
crush,rozdrviť
yup,Áno
arranged,usporiadaný
suits,obleky
pee,močiť
stress,stres
cave,jaskyňa
wing,krídlo
jordan,Jordánsko
arrange,usporiadať
comrade,bojovník
noble,šľachetný
tricks,triky
betty,betta
launch,spustiť
legend,legenda
mix,zmiešať
golf,golf
imagination,predstavivosť
fox,líška
kissing,bozkávanie
butter,maslo
tax,zdanenie
gross,hrubý
edward,Edward
texas,Texas
insist,trvať
marcus,marcus
classic,klasický
selfish,sebecký
skull,lebka
frankie,frankie
shown,zobrazený
bat,netopier
survived,prežil
print,tlač
champion,majster
bills,účty
therapy,terapia
lifetime,život
throughout,cez
a.m.,hod.
nathan,Nathan
toward,smerom k
sauce,omáčka
experiment,experimentovať
margaret,Margaret
describe,opísať
ross,štrbina
grass,tráv
cheat,podvádzať
attend,venovať sa
homework,domáca úloha
lewis,lesk
betrayed,zradený
servant,zamestnanec
cap,čap
tyler,tyler
bible,biblia
practically,prakticky
catherine,katarína
steel,oceľ
wipe,utierať
burns,popáliť
j,j
generation,tvorba
cabin,kabína
financial,finančný
industry,priemysel
bond,väzba
sheep,oviec
scientists,vedci
beaten,porazený
heck,sakra
deck,paluba
fans,Fanúšikovia
script,skript
brand,značka
degree,stupeň
painful,bolestivý
coughing,kašeľ
religion,náboženstvo
cats,mačky
stephen,Stephen
influence,ovplyvniť
fuel,palivo
drawing,kresba
uh-oh,Uh Oh
rabbit,králik
exercise,cvičenie
attractive,atraktívny
touching,dojímavý
virus,vírus
realise,realizovať
torture,mučenie
blessed,požehnaný
plain,prostý
rebecca,rebecca
recent,posledný
barbara,Barbara
footsteps,kroky
sacred,posvätný
removed,odstránený
pretending,predstieraný
wasted,zbytočný
jewish,židovský
goodnight,dobrú noc
robot,robot
crystal,kryštál
confirm,potvrdiť
lad,chlapík
mile,míľa
division,rozdelenie
scratch,škrabanec
reminds,pripomínať
walks,prechádzky
ending,koncový
russia,Rusko
contest,súťaž
valuable,cenný
distant,vzdialený
dumped,vyhodený
motion,pohyb
electricity,elektrina
centre,stred
murders,vraždy
tina,tina
jeremy,hrebeň
seal,tuleň
standard,norma
ellen,ellen
wore,nosil
surrounded,obklopený
struck,zasiahnutý
inform,informovať
gentle,jemný
status,postavenie
purse,kabelka
prints,výtlačky
players,hráč
charged,nabitý
begging,prosperovanie
delivered,dodávaný
kenny,kent
buck,bahno
nina,nina
construction,výstavba
confirmed,potvrdený
confession,priznanie
trigger,spúšť
cells,bunky
frankly,úprimne
ali,ali
exit,VÝCHOD
response,reakcia
cancel,Zrušiť
argument,argument
principal,hlavný
turkey,moriak
lucas,Lucas
clinic,POLIKLINIKA
greetings,pozdravy
neighbors,susedia
vice,zverák
toy,hračka
hannah,hannah
everyday,každý deň
generous,veľkorysý
gain,zisk
idiots,idioti
holly,Svätý
enjoyed,teší sa
jungle,džungľa
link,spojenie
underground,podzemný
smiling,usmievavý
mistress,pani
teams,tímy
product,produkt
beef,hovädzie mäso
whispers,šepot
religious,náboženský
presents,darčeky
identify,zistiť
chip,čip
chffffff,chffffff
surveillance,dohľad
carlos,karlos
vampire,upír
routine,rutina
uses,využívanie
michelle,Michelle
underneath,dole
systems,systémy
temperature,teplota
waves,vlny
tribe,kmeň
brad,brada
deputy,zástupca
sophie,sophie
headquarters,ústredie
equal,rovnaký
phones,telefóny
ken,ken
reckon,započítať
related,súvisiaci
incredibly,neuveriteľne
chill,chladenie
spit,pľuvanie
tracks,stopy
oscar,oscar
makeup,makeup
bug,chyba
sounded,znieť
spirits,nálada
nerve,nerv
divorced,rozvedeny
stake,vkladať
port,prístav
doorbell,zvonček
worries,obavy
nephew,synovec
miller,mlynár
units,Jednotky
just-,spravodlivo
proceed,pokračovať
landing,pristátie
traitor,zradca
outfit,vybaviť
chloe,chloe
bail,kaucia
fields,polia
patience,trpezlivosť
recording,nahrávanie
foolish,hlúpy
loaded,naložený
tokyo,Tokio
davis,davis
costume,kostým
wayne,wayne
injured,zranený
somethin,niečo
ian,ian
pet,domáce zviera
cage,klietka
digging,kopanie
spain,Španielsko
seats,sedadlá
awkward,nepríjemný
cleaned,vyčistený
pattern,vzor
filthy,špinavý
visiting,návšteva
jews,Židia
answering,zodpovednosť
concentrate,koncentrovať
someplace,niekde
citizens,občan
aim,cieľ
nancy,nancy
affairs,záležitosti
thick,hrubý
sport,šport
basic,základný
electric,elektrický
pleasant,príjemný
cliff,útes
nail,pritĺcť
russell,Russell
environment,prostredie
western,západný
average,priemer
ease,ľahkosť
raped,znásilnený
interrupt,prerušiť
judy,publica
satisfied,spokojný
beep,pípanie
starving,hladný
documents,Dokumenty
anniversary,výročie
beth,blesk
election,voľby
warrior,bojovník
r,r
forth,vpred
fetch,vyvolať
banks,breh
placed,umiestnený
timing,načasovanie
stones,kamene
complex,komplex
frozen,zamrznutý
replace,nahradiť
prayer,modlitba
skip,preskočiť
angeles,Angeles
guilt,vina
tune,naladenie
woo,vábiť
actions,akcie
conscience,svedomie
officially,oficiálne
martha,martha
machines,stroje
smaller,menší
determined,určený
blown,fúkaný
hail,krupobitie
unhappy,nešťastný
booth,búdka
pour,naliať
berlin,Berlín
cleared,vyčistený
packed,zabalený
wrap,obal
randy,randy
behalf,zároveň
reasonable,rozumný
trunk,kmeň
homes,domácnosť
festival,festival
tradition,tradícia
cigarettes,cigarety
le,lenici
beside,vedľa
harvey,odovzdať
motive,motív
beings,bytosť
bishop,biskup
dealer,predajca
defendant,obžalovaný
backup,záloha
wounds,rany
ouch,aght
ann,postihnúť
nearby,neďaleký
drank,piť sa
effects,účinky
jonathan,jonathan
dennis,Dennis
benefit,prínos
adventure,dobrodružstvo
p,p
territory,územia
ve,VE
apology,ospravedlnenie
dylan,dylan
unlike,na rozdiel od
owns,vlastné
boxes,škatule
thus,tak
clay,hlina
developed,rozvinutý
busted,zatknutý
pipe,rúra
gray,šedý
no.,nie.
goods,tovar
favourite,obľúbený
salad,šalát
loyal,lojálny
atmosphere,atmosféra
eva,eva
freaking,strašidelný
dropping,pokles
strangers,cudzinci
mouse,myš
downtown,v centre mesta
francisco,frankisco
heroes,hrdinovia
pit,jamka
rotten,zhnitý
paradise,raj
meantime,medzitým
jess,jesk
organization,Organizácia
hills,kopce
exam,skúška
cock,kohútik
fairy,víla
earl,gróf
comment,komentár
activity,činnosť
frame,rám
knight,rytier
testing,testovanie
habit,zvyk
shelter,úkryt
flow,pretekať
jennifer,jennifer
holes,otvory
prevent,zabrániť
anthony,Anthony
lend,požičať
cooper,cooper
figures,čísla
boston,Boston
sample,vzorka
strip,odtrhnúť
landed,vyložený
buzzing,bzučanie
monk,mních
slightly,mierne
produce,vyrábať
annoying,nepríjemný
judgment,rozsudok
laundry,práčovňa
ron,ron
lousy,mizerný
souls,duš
existence,existencia
belly,brucho
tries,pokusy
foster,posilňovať
returning,návrat
answered,zodpovedaný
ward,odbočka
plants,rastlinné rastliny
actress,herečka
chairman,predseda
individual,jednotlivec
hopes,nádeje
tattoo,vytetovať
fence,zafarbiť
sink,drez
punk,punk
confident,presvedčivý
yay,Jéj
mistaken,chybný
limit,obmedzenie
bothering,obťažovanie
st,sv.
uncomfortable,nepohodlný
wednesday,streda
gifts,darček
policeman,policajt
na,nat
precisely,presne
lawyers,právnici
greek,grécky
merely,iba
criminals,zločin
underwear,spodná bielizeň
hoped,dúfať
earned,zárobkový
reveal,odhaliť
appeared,objavil sa
derek,deak
heavens,bejiny
personality,osobnosť
batman,batman
virginia,Virgínia
wives,manželka
colour,farba
worker,pracovník
pope,pápež
instructions,inštrukcie
intelligent,inteligentný
worrying,znepokojujúci
vince,vince
comin,porovnávať
cried,plachaný
traveling,cestovanie
bells,zvončeky
x,X
impact,dopad
robbed,okradnutý
relief,úľava
host,hostiteľ
footage,záber
odds,neurčitý
patrol,hliadkovať
circus,cirkus
mud,bahno
captured,zachytený
lessons,lekcie
occasion,náhoda
sets,súprav
pulse,impulz
ad,reklama
invented,vynájdený
diamonds,diamanty
matthew,matthew
auntie,tetuška
cloud,zakaliť
francis,francis
angels,anjel
hers,jej
classes,tried
mm-hm,mm-hm
signature,podpis
complain,sťažovať sa
blah,blesk
monitor,monitor
options,možnosti
claims,nároky
flies,muchy
pat,potľapkať
britain,Británia
hid,skrývať sa
wailing,kvílenie
listened,počúvaný
countries,krajina
vic,Vic
yell,vkripanie
rats,potkany
wondered,zázrak
smooth,vyhladiť
resist,odolať
companies,spoločnosti
fantasy,fantázia
passport,pas
pitch,pitch
hammer,kladiť
homicide,vražda
casey,prízvuk
holds,uchvátenie
flew,odletie
jacob,žakač
noon,poludnie
helicopter,vrtuľník
dishes,jedlá
spin,točiť sa
charm,čaro
slap,facka
apply,uplatňovať
fools,blázon
screeching,výkrik
discover,objaviť
previous,predchádzajúci
kit,súprava
authorities,orgány
moaning,stonanie
photograph,fotografia
sales,predajný
fifty,päťdesiat
mickey,mickey
beneath,pod
farewell,rozlúčka
clouds,oblaky
slipped,vkĺznuť
represent,predstavovať
deaf,nepočujúci
facing,stručnosť
offense,priestupok
citizen,občan
clown,klaun
snap,zachytiť
messing,hovädzie
hood,kapucňa
twelve,dvanásť
interests,záujmy
cheated,podvádzaný
liz,Liz
informed,informovaný
humanity,ľudskosť
producer,výrobca
technically,technicky
accounts,účty
extreme,extrémny
gettin,dostať sa
cia,CIA
ii,ii
pays,platiť
profile,profil
oxygen,kyslík
jeez,žar
gene,gén
shed,preliať
minor,menší
ex,bývalý
theatre,divadlo
